dataset,model,ram,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative
Satimage,Wisard,HH,0.8688439606013478,0.018890626858296886,0.8646776727286035,0.019273059017138144,377395.2,265861.09730308416,0.8646776727286035,0.019273059017138144,f1,0.9834526464030044,0.9834821508940074,0.16571251227052214,0.9834821508940074
Satimage,Wisard,ST,0.8716433385173665,0.009756110793232792,0.8655306796312422,0.011092035853145004,351302.4,277388.1385438101,0.8655306796312422,0.011092035853145004,f1,0.9866212885811526,0.9844523587411549,0.15425528271335692,0.9844523587411549
Segment,Wisard,CB,0.87005772005772,0.022690595476721833,0.8641127759170735,0.024577254883847634,298771.2,187800.37048738747,0.87005772005772,0.022690595476721833,accuracy,1.0092902577837293,1.008012491711624,3.006754780275076,1.0092902577837293
Segment,Wisard,CC,0.8757575757575757,0.01173853070708038,0.871293670591837,0.010499687906691991,1318753.6,1988793.2409008231,0.8757575757575757,0.01173853070708038,accuracy,1.0159022430532305,1.0163892125929292,13.271589399530361,1.0159022430532305
Segment,Wisard,CMS,0.8819624819624818,0.01976306244821084,0.8762259645364315,0.020453875506584437,283343.2,150484.3603408673,0.8819624819624818,0.01976306244821084,accuracy,1.0231001004352192,1.0221428758270694,2.8514914458235494,1.0231001004352192
Segment,Wisard,Dict,0.8620490620490621,0.016063723833880814,0.8572441145543681,0.016645975461770435,99366.66666666666,40765.484396865824,0.8620490620490621,0.016063723833880814,accuracy,1.0,1.0,1.0,1.0
Segment,Wisard,HH,0.8845598845598847,0.014830306487081111,0.8784076520659824,0.016737149808760475,379209.6,720878.3940088646,0.8845598845598847,0.014830306487081111,accuracy,1.0261131570137263,1.0246878772945742,3.8162656826568266,1.0261131570137263
Segment,Wisard,ST,0.8773448773448772,0.01475111709975536,0.8729332884866873,0.01562105265709931,95547.2,57379.1040989662,0.8773448773448772,0.01475111709975536,accuracy,1.0177435554067624,1.018301874187232,0.9615618919825563,1.0177435554067624
Sepsis,Wisard,CB,0.9096889040965188,0.022745180523430584,0.8842544244115963,0.009229734027299923,13502.4,5137.502583940956,0.8842544244115963,0.009229734027299923,f1,0.9830470417904945,0.9927325398005887,1.8957122399123914,0.9927325398005887
Sepsis,Wisard,CC,0.9059912423238161,0.0402831107225337,0.8815114429973365,0.01901755149555356,138134.4,205731.8760250827,0.8815114429973365,0.01901755149555356,f1,0.9790511972211828,0.9896530563048563,19.393816864628082,0.9896530563048563
Sepsis,Wisard,CMS,0.9261229571040778,0.0004246565395227172,0.8909546429927421,8.8416797261451e-05,19910.4,20635.04312571214,0.8909546429927421,8.8416797261451e-05,f1,1.000806351727065,1.0002547243954876,2.795383708196445,1.0002547243954876
Sepsis,Wisard,Dict,0.9253767779409994,0.0017277180096166573,0.8907277529043396,0.0003143617133267542,7122.6,4137.145442344409,0.8907277529043396,0.0003143617133267542,f1,1.0,1.0,1.0,1.0
Sepsis,Wisard,HH,0.9066046468431374,0.03566207377105333,0.8832360940166023,0.014087888246156696,13344.0,12459.814444846279,0.8832360940166023,0.014087888246156696,f1,0.9797140672368818,0.9915892831863499,1.8734731699098643,0.9915892831863499
Sepsis,Wisard,ST,0.9159000091656988,0.014328335743362026,0.8874853297106433,0.004714751766278928,24892.8,23035.664592105866,0.8874853297106433,0.004714751766278928,f1,0.9897590160016909,0.9963598044597534,3.494903546457754,0.9963598044597534
Vehicle,Wisard,CB,0.8317948717948719,0.03032553198300218,0.8274517223934958,0.03196574842868498,93744.0,94093.35364413365,0.8317948717948719,0.03032553198300218,accuracy,0.9582521339075437,0.9555384347126813,0.2841023427896726,0.9582521339075437
Vehicle,Wisard,CC,0.8735630583594386,0.02721990620108347,0.8726782176245674,0.02778318562250483,538598.4,528188.8924663222,0.8735630583594386,0.02721990620108347,accuracy,1.0063703121533154,1.0077658375823406,1.6322865171399688,1.0063703121533154
Vehicle,Wisard,CMS,0.8510732103492284,0.02524415950697707,0.8486718079083495,0.025618078980846903,140702.4,139194.99880671,0.8510732103492284,0.02524415950697707,accuracy,0.980461346400092,0.98004331729203,0.42641535966173444,0.980461346400092
Vehicle,Wisard,Dict,0.8680334145492516,0.031910932585230575,0.8659533644424261,0.0329113589801249,329965.6,221007.68947336555,0.8680334145492516,0.031910932585230575,accuracy,1.0,1.0,1.0,1.0
Vehicle,Wisard,HH,0.8487341919016128,0.024843117984238085,0.8465015181469916,0.026466749690308808,87004.8,56744.60188599441,0.8487341919016128,0.024843117984238085,accuracy,0.9777667284183289,0.9775370740571471,0.2636783955660833,0.9777667284183289
Vehicle,Wisard,ST,0.8637220095138647,0.03841967083879474,0.862018397022968,0.03970189976985086,129384.0,65726.67403725827,0.8637220095138647,0.03841967083879474,accuracy,0.9950331347121865,0.9954559130075189,0.39211360214519336,0.9950331347121865
Wine,Wisard,CB,0.8985714285714286,0.029790168824935858,0.8973686386413089,0.02976950883987059,186888.0,206947.15638539227,0.8973686386413089,0.02976950883987059,f1,0.9753618194348725,0.9754408825493254,3.9432617728726687,0.9754408825493254
Wine,Wisard,CC,0.9206349206349207,0.06049328083216467,0.9193138497257562,0.061926215527998374,224336.0,257658.1400227829,0.9193138497257562,0.061926215527998374,f1,0.9993108201240525,0.9992953556679263,4.733399539184768,0.9992953556679263
Wine,Wisard,CMS,0.9173015873015873,0.052935708065846965,0.9172701693337613,0.052798156317993755,16785.6,6206.369373474318,0.9172701693337613,0.052798156317993755,f1,0.9956926257753274,0.9970738724119094,0.3541694213364767,0.9970738724119094
Wine,Wisard,Dict,0.9212698412698412,0.03771377204978026,0.919962095802286,0.039149351157236986,47394.26666666666,58522.229071714464,0.919962095802286,0.039149351157236986,f1,1.0,1.0,1.0,1.0
Wine,Wisard,HH,0.9132804232804232,0.06302001550140623,0.9121082425361221,0.06550794686440445,46113.6,50000.08076793477,0.9121082425361221,0.06550794686440445,f1,0.9913278198943257,0.9914628512391973,0.9729784474634063,0.9914628512391973
Wine,Wisard,ST,0.9077777777777778,0.04804832957875477,0.9071365118370401,0.04826237411088561,30357.6,24015.79340350845,0.9071365118370401,0.04826237411088561,f1,0.9853549276361131,0.9860585734740942,0.6405331727888324,0.9860585734740942
Yeast,Wisard,CB,0.5408908908908909,0.018753545664095653,0.5249709535797644,0.019197662405222807,281856.0,170402.68918065817,0.5249709535797644,0.019197662405222807,f1,1.0604943686577706,1.0760153402941195,0.6949973747568321,1.0760153402941195
Yeast,Wisard,CC,0.5431128097794764,0.02174634996438871,0.5243394932795316,0.02538468377993672,398149.3333333333,282764.67835365236,0.5243394932795316,0.02538468377993672,f1,1.0648507601382744,1.0747210573148345,0.9817521763874089,1.0747210573148345
Yeast,Wisard,CMS,0.5363697030363697,0.022142166002912616,0.5182462476699763,0.021192731836974038,307072.0,177784.3511673623,0.5182462476699763,0.021192731836974038,f1,1.0516299297476117,1.0622319363389916,0.757174705740981,1.0622319363389916
Yeast,Wisard,Dict,0.5100365517032184,0.06145499206278534,0.4878842651409302,0.06995456750657511,405549.73333333334,146279.90072031243,0.4878842651409302,0.06995456750657511,f1,1.0,1.0,1.0,1.0
Yeast,Wisard,HH,0.5444816028149362,0.021547170755916608,0.5274104962696218,0.01936465238822989,179456.0,89134.33277923832,0.5274104962696218,0.01936465238822989,f1,1.0675344757090288,1.0810155890501492,0.4425005991866842,1.0810155890501492
Yeast,Wisard,ST,0.5108055024721692,0.07626049033677997,0.4929788041610448,0.07481967507437264,188416.0,181688.21117507873,0.4929788041610448,0.07481967507437264,f1,1.0015076385533213,1.0104421056060149,0.46459406704907213,1.0104421056060149
