dataset,model,ram,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative
Motion Sense,RF,,0.9120427748695097,0.005475932180337994,0.9118315867890822,0.005602778949595176,41730769.6,5870390.503000529,0.9120427748695097,0.005475932180337994,accuracy,1.0,1.0,1.0,1.0
Motion Sense,SVM,,0.8333335029940881,0.014727048150643192,0.8292844779010837,0.015619684880924507,6556588.0,95867.68102963579,0.8333335029940881,0.014727048150643192,accuracy,0.9137000214856339,0.909471101808746,0.1571163930798918,0.9137000214856339
Motion Sense,Wisard,Dict,0.698318916410691,0.027642161084665894,0.6856930069458967,0.026949602374721975,25108048.6,8516280.863700563,0.698318916410691,0.027642161084665894,accuracy,0.7656646548300355,0.7519952334185873,0.6016675187317897,0.7656646548300355
Optical Handwritten,KNN,,0.9859430604982207,0.005087536816902443,0.985960465905746,0.005022722841633451,1870657.8,2.949576240727831,0.985960465905746,0.005022722841633451,f1,1.0,1.0,1.0,1.0
Optical Handwritten,MLP,,0.9856761565836297,0.003983738999508561,0.9856780869928061,0.003964885123054174,296641.0,133964.42965018738,0.9856780869928061,0.003964885123054174,f1,0.9997292907417432,0.9997136001668379,0.15857576944324075,0.9997136001668379
Optical Handwritten,RF,,0.9823250296559906,0.0038700783553403837,0.9823226670204288,0.0038460055085247215,54297727.06666666,16827301.73591581,0.9823226670204288,0.0038460055085247215,f1,0.996330385610299,0.9963104008617877,29.0260073577683,0.9963104008617877
Optical Handwritten,SVM,,0.9857651245551601,0.004312882435423794,0.9857761439402122,0.00430262945415135,385493.8,25474.745203828832,0.9857761439402122,0.00430262945415135,f1,0.9998195271611622,0.9998130533911778,0.20607392757777504,0.9998130533911778
Optical Handwritten,Wisard,CB,0.9720640569395018,0.006899082336225525,0.9720889553561104,0.006872241840993665,9454592.0,7781035.1224191245,0.9720889553561104,0.006872241840993665,f1,0.9859231185706552,0.9859309667787819,5.054153677920141,0.9859309667787819
Rice,KNN,,0.8808398950131233,0.0169438785003458,0.8801652508609479,0.017380281399535482,223815.4,91896.06911506063,0.8801652508609479,0.017380281399535482,f1,0.9464184997179921,0.945737457994039,8.826224465651865,0.945737457994039
Rice,MLP,,0.8404199475065617,0.049964030817427035,0.8088356849586432,0.07738921941452993,50125.93333333333,76723.36939449701,0.8088356849586432,0.07738921941452993,f1,0.9029892836999437,0.86909384786483,1.9767305518311116,0.86909384786483
Rice,RF,,0.9258092738407699,0.012274219899955212,0.9257143135910766,0.012344651217089612,1167493.3333333335,1736349.285686863,0.9257143135910766,0.012344651217089612,f1,0.994735852603873,0.9946799205126013,46.04043431395747,0.9946799205126013
Rice,SVM,,0.9307086614173228,0.012077769411909347,0.930665528177161,0.012140459163934417,25358.0,330.959211988426,0.930665528177161,0.012140459163934417,f1,1.0,1.0,1.0,1.0
Rice,Wisard,CC,0.9139107611548557,0.0037554113790611303,0.913932624896956,0.003866207242678736,64624.0,64112.54105087397,0.913932624896956,0.003866207242678736,f1,0.98195149464185,0.9820204974036391,2.5484659673475827,0.9820204974036391
Satimage,KNN,,0.9051321928460343,0.005273973548308915,0.9053325366066755,0.005070770544952693,1478788.2,581478.1854056952,0.9053325366066755,0.005070770544952693,f1,0.9931175701040896,0.9963579897213068,0.06032298147956289,0.9963579897213068
Satimage,MLP,,0.9053913945049248,0.004560034236847919,0.9038558268441035,0.004785666093125717,126005.8,39585.00863584597,0.9038558268441035,0.004785666093125717,f1,0.9934019680336725,0.9947328061440626,0.005140050170617743,0.9947328061440626
Satimage,RF,,0.9114048729911872,0.0034746560038232117,0.9086418194527729,0.003892978508759749,24514507.8,27133845.58918851,0.9086418194527729,0.003892978508759749,f1,1.0,1.0,1.0,1.0
Satimage,SVM,,0.9082426127527216,0.007519082272866985,0.9072305692263054,0.007235946562201227,353672.0,8054.4443632071825,0.9072305692263054,0.007235946562201227,f1,0.9965303452590863,0.9984468575006624,0.01442704878618856,0.9984468575006624
Satimage,Wisard,Dict,0.8834629341627785,0.006740738359469655,0.8792001684449403,0.006680500938251005,2277409.2,752261.3098117199,0.8792001684449403,0.006680500938251005,f1,0.9693419031909446,0.9675981774363371,0.09290046606605742,0.9675981774363371
Segment,KNN,,0.9541125541125541,0.011992982837398308,0.9540765905206339,0.012163492192470165,237192.6,2.5099800795999077,0.9541125541125541,0.011992982837398308,accuracy,0.9775280898876405,0.9774920078922019,0.09674290887430975,0.9775280898876405
Segment,MLP,,0.9673160173160174,0.0077523565424007556,0.9672320188337004,0.007739490693443179,196009.03333333335,163573.8496048837,0.9673160173160174,0.0077523565424007556,accuracy,0.9910555884092254,0.9909703032032776,0.07994551284613521,0.9910555884092254
Segment,RF,,0.976046176046176,0.004250123080814833,0.9760454129726753,0.004223435297554001,2451782.8,2639520.7778192805,0.976046176046176,0.004250123080814833,accuracy,1.0,1.0,1.0,1.0
Segment,SVM,,0.9575757575757576,0.00913204463624639,0.9577013359212548,0.008897431249227497,44604.8,10568.54044795212,0.9575757575757576,0.00913204463624639,accuracy,0.9810762862211709,0.9812057135788885,0.018192802396688648,0.9810762862211709
Segment,Wisard,HH,0.8845598845598847,0.014830306487081111,0.8784076520659824,0.016737149808760475,379209.6,720878.3940088646,0.8845598845598847,0.014830306487081111,accuracy,0.9062684801892372,0.8999659650985662,0.15466688158510616,0.9062684801892372
Sepsis,KNN,,0.92601118069612,0.0006162629526581255,0.8909150975412059,0.00010230980227578922,4789466.2,53839.125426589184,0.8909150975412059,0.00010230980227578922,f1,0.9998793071620778,0.9999556145177005,240.55097838315655,0.9999556145177005
Sepsis,MLP,,0.9263283820736803,1.9944441916072828e-05,0.8909013432042945,2.913945765150026e-05,9795.733333333334,2717.9158825181557,0.8909013432042945,2.913945765150026e-05,f1,1.0002218117670303,0.9999401767655999,0.4919907853851923,0.9999401767655999
Sepsis,RF,,0.9262196297796306,0.00010193833963947868,0.8909001474474234,3.0274357843426e-05,10433077.8,6703642.189415162,0.8909001474474234,3.0274357843426e-05,f1,1.0001043842772832,0.9999388346581419,524.0014163452266,0.9999388346581419
Sepsis,SVM,,0.9263283820736803,1.9944441916072828e-05,0.8909013432042945,2.913945765150026e-05,459703.4,451.77737880509426,0.8909013432042945,2.913945765150026e-05,f1,1.0002218117670303,0.9999401767655999,23.088606959177113,0.9999401767655999
Sepsis,Wisard,CMS,0.9261229571040778,0.0004246565395227172,0.8909546429927421,8.8416797261451e-05,19910.4,20635.04312571214,0.8909546429927421,8.8416797261451e-05,f1,1.0,1.0,1.0,1.0
Vehicle,KNN,,0.8428332753219632,0.023058982452417325,0.8432442064911253,0.02280814563046244,82884.2,70.01928305831109,0.8428332753219632,0.023058982452417325,accuracy,0.886479454863179,0.8868594006826099,0.18288935534033535,0.886479454863179
Vehicle,MLP,,0.904327648219051,0.036205843793327044,0.904334912424963,0.03666697983319745,92696.06666666665,76287.96595772276,0.904327648219051,0.036205843793327044,accuracy,0.9511583181201372,0.9511099065677412,0.2045398746112216,0.9511583181201372
Vehicle,RF,,0.9507645898596124,0.011390129175773813,0.9508206214447135,0.011417595421364713,453193.1333333334,273346.39670903137,0.9507645898596124,0.011390129175773813,accuracy,1.0,1.0,1.0,1.0
Vehicle,SVM,,0.9432927253741734,0.02553319911863268,0.9432144827839023,0.025872880719605418,17608.6,6758.003129623425,0.9432927253741734,0.02553319911863268,accuracy,0.9921412044946454,0.9920004483608548,0.038854516330565164,0.9921412044946454
Vehicle,Wisard,CC,0.8735630583594386,0.02721990620108347,0.8726782176245674,0.02778318562250483,538598.4,528188.8924663222,0.8735630583594386,0.02721990620108347,accuracy,0.9188005818437419,0.917815829760388,1.1884522522185903,0.9188005818437419
Wine,KNN,,0.7077777777777777,0.05841399239422524,0.7087769727856685,0.05191854623078999,16175.4,6314.060721912643,0.7087769727856685,0.05191854623078999,f1,0.7214043035107587,0.7225377831711868,0.08205586932260137,0.7225377831711868
Wine,MLP,,0.935873015873016,0.05114708386069293,0.9353143842507008,0.051892580231369244,513827.5333333333,696015.950813134,0.9353143842507008,0.051892580231369244,f1,0.9538909561559619,0.9534733882628327,2.6065856133112377,0.9534733882628327
Wine,RF,,0.9811111111111112,0.02929205850325353,0.9809548916250128,0.029660280850017557,197126.6666666667,325716.99071185844,0.9809548916250128,0.029660280850017557,f1,1.0,1.0,1.0,1.0
Wine,SVM,,0.9433333333333334,0.05314379586131155,0.9434165264143959,0.052944241913579985,3665.0,394.2765526885919,0.9434165264143959,0.052944241913579985,f1,0.9614949037372593,0.9617328324359214,0.018592106598126414,0.9617328324359214
Wine,Wisard,Dict,0.9212698412698412,0.03771377204978026,0.919962095802286,0.039149351157236986,47394.26666666666,58522.229071714464,0.919962095802286,0.039149351157236986,f1,0.9390066332308687,0.9378230371819765,0.24042544556799347,0.9378230371819765
Yeast,KNN,,0.59502457002457,0.020123318476921587,0.5809740655746582,0.0210899576108628,69078.4,32.1993788759986,0.5809740655746582,0.0210899576108628,f1,0.9918831250916483,0.9818361899121314,0.003054088856962379,0.9818361899121314
Yeast,MLP,,0.5441612066612066,0.09513018924149076,0.5394002470191114,0.08904814808542819,94812.0,178442.53495266574,0.5394002470191114,0.08904814808542819,f1,0.9070958501671158,0.9115771507753303,0.0041918207819856435,0.9115771507753303
Yeast,RF,,0.5998938332271665,0.050994085184588527,0.5917219914522116,0.048223018726302476,22618333.4,25929499.97345879,0.5917219914522116,0.048223018726302476,f1,1.0,1.0,1.0,1.0
Yeast,SVM,,0.5362589862589863,0.10789490413764469,0.5354593190186775,0.09419643366270256,105063.8,1721.3213529146713,0.5354593190186775,0.09419643366270256,f1,0.8939231519919907,0.904917050158211,0.004645072567548235,0.904917050158211
Yeast,Wisard,HH,0.5444816028149362,0.021547170755916608,0.5274104962696218,0.01936465238822989,179456.0,89134.33277923832,0.5274104962696218,0.01936465238822989,f1,0.9076299382606806,0.8913146779879589,0.007934094737501748,0.8913146779879589
